"Tabela 4092 - Pessoas de 14 anos ou mais de idade, por condição em relação à força de trabalho e condição de ocupação"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Condição em relação à força de trabalho e condição de ocupação";"Brasil, Grande Região e Unidade da Federação";"Trimestre";""
"Força de trabalho";"Espírito Santo";"2º trimestre 2019";"2202"
"Força de trabalho";"Espírito Santo";"3º trimestre 2019";"2176"
"Força de trabalho";"Espírito Santo";"4º trimestre 2019";"2175"
"Força de trabalho";"Espírito Santo";"1º trimestre 2020";"2155"
"Força de trabalho";"Espírito Santo";"2º trimestre 2020";"2022"
"Força de trabalho";"Espírito Santo";"3º trimestre 2020";"2086"
"Força de trabalho";"Espírito Santo";"4º trimestre 2020";"2099"
"Força de trabalho";"Espírito Santo";"1º trimestre 2021";"2120"
"Força de trabalho";"Espírito Santo";"2º trimestre 2021";"2115"
"Força de trabalho";"Espírito Santo";"3º trimestre 2021";"2153"
"Força de trabalho";"Espírito Santo";"4º trimestre 2021";"2177"
"Força de trabalho";"Rio de Janeiro";"1º trimestre 2018";"8822"
"Força de trabalho";"Rio de Janeiro";"2º trimestre 2018";"8848"
"Força de trabalho";"Rio de Janeiro";"3º trimestre 2018";"8867"
"Força de trabalho";"Rio de Janeiro";"4º trimestre 2018";"8924"
"Força de trabalho";"Rio de Janeiro";"1º trimestre 2019";"8992"
"Força de trabalho";"Rio de Janeiro";"2º trimestre 2019";"8955"
"Força de trabalho";"Rio de Janeiro";"3º trimestre 2019";"8999"
"Força de trabalho";"Rio de Janeiro";"4º trimestre 2019";"9008"
"Força de trabalho";"Rio de Janeiro";"1º trimestre 2020";"8942"
"Força de trabalho";"Rio de Janeiro";"2º trimestre 2020";"8050"
"Força de trabalho";"Rio de Janeiro";"3º trimestre 2020";"8104"
"Força de trabalho";"Rio de Janeiro";"4º trimestre 2020";"8360"
"Força de trabalho";"Rio de Janeiro";"1º trimestre 2021";"8401"
"Força de trabalho";"Rio de Janeiro";"2º trimestre 2021";"8888"
"Força de trabalho";"Rio de Janeiro";"3º trimestre 2021";"8941"
"Força de trabalho";"Rio de Janeiro";"4º trimestre 2021";"9052"
"Força de trabalho";"São Paulo";"1º trimestre 2018";"25418"
"Força de trabalho";"São Paulo";"2º trimestre 2018";"25414"
"Força de trabalho";"São Paulo";"3º trimestre 2018";"25633"
"Força de trabalho";"São Paulo";"4º trimestre 2018";"25615"
"Força de trabalho";"São Paulo";"1º trimestre 2019";"25832"
"Força de trabalho";"São Paulo";"2º trimestre 2019";"26064"
"Força de trabalho";"São Paulo";"3º trimestre 2019";"26087"
"Força de trabalho";"São Paulo";"4º trimestre 2019";"26029"
"Força de trabalho";"São Paulo";"1º trimestre 2020";"25654"
"Força de trabalho";"São Paulo";"2º trimestre 2020";"23318"
"Força de trabalho";"São Paulo";"3º trimestre 2020";"23411"
"Força de trabalho";"São Paulo";"4º trimestre 2020";"24246"
"Força de trabalho";"São Paulo";"1º trimestre 2021";"24419"
"Força de trabalho";"São Paulo";"2º trimestre 2021";"25033"
"Força de trabalho";"São Paulo";"3º trimestre 2021";"25614"
"Força de trabalho";"São Paulo";"4º trimestre 2021";"26039"
"Força de trabalho";"Paraná";"1º trimestre 2018";"6014"
"Força de trabalho";"Paraná";"2º trimestre 2018";"5996"
"Força de trabalho";"Paraná";"3º trimestre 2018";"6039"
"Força de trabalho";"Paraná";"4º trimestre 2018";"6071"
"Força de trabalho";"Paraná";"1º trimestre 2019";"6098"
"Força de trabalho";"Paraná";"2º trimestre 2019";"6137"
"Força de trabalho";"Paraná";"3º trimestre 2019";"6172"
"Força de trabalho";"Paraná";"4º trimestre 2019";"6122"
"Força de trabalho";"Paraná";"1º trimestre 2020";"6085"
"Força de trabalho";"Paraná";"2º trimestre 2020";"5999"
"Força de trabalho";"Paraná";"3º trimestre 2020";"5851"
"Força de trabalho";"Paraná";"4º trimestre 2020";"6040"
"Força de trabalho";"Paraná";"1º trimestre 2021";"6057"
"Força de trabalho";"Paraná";"2º trimestre 2021";"5887"
