Tabela 6813 - Percentual de pessoas desalentadas na população na força de trabalho ou desalentada - Total, coeficiente de variação, variações em relação ao trimestre anterior e ao mesmo trimestre do ano anterior, e média anual;;
Variável - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência (%);;
Brasil, Grande Região e Unidade da Federação;Trimestre;
Maranhão;4º trimestre 2019;17,4
Maranhão;1º trimestre 2020;18
Maranhão;2º trimestre 2020;21,9
Maranhão;3º trimestre 2020;21,1
Maranhão;4º trimestre 2020;21,1
Maranhão;1º trimestre 2021;21
Maranhão;2º trimestre 2021;19,7
Maranhão;3º trimestre 2021;17,6
Maranhão;4º trimestre 2021;17
Piauí;1º trimestre 2018;11,7
Piauí;2º trimestre 2018;10,9
Piauí;3º trimestre 2018;9,9
Piauí;4º trimestre 2018;10,8
Piauí;1º trimestre 2019;10,6
Piauí;2º trimestre 2019;10,9
Piauí;3º trimestre 2019;8,6
Piauí;4º trimestre 2019;10,5
Piauí;1º trimestre 2020;10,4
Piauí;2º trimestre 2020;13
Piauí;3º trimestre 2020;11,9
Piauí;4º trimestre 2020;12
Piauí;1º trimestre 2021;14,3
Piauí;2º trimestre 2021;14,2
Piauí;3º trimestre 2021;12,8
Piauí;4º trimestre 2021;13,4
Ceará;1º trimestre 2018;7,4
Ceará;2º trimestre 2018;8,4
Ceará;3º trimestre 2018;8,5
Ceará;4º trimestre 2018;7,3
Ceará;1º trimestre 2019;8,9
Ceará;2º trimestre 2019;7,9
Ceará;3º trimestre 2019;8
Ceará;4º trimestre 2019;7,9
Ceará;1º trimestre 2020;8,5
Ceará;2º trimestre 2020;9,4
Ceará;3º trimestre 2020;11,3
Ceará;4º trimestre 2020;10,7
Ceará;1º trimestre 2021;11
Ceará;2º trimestre 2021;10,3
Ceará;3º trimestre 2021;8,9
Ceará;4º trimestre 2021;8,7
Rio Grande do Norte;1º trimestre 2018;10,5
Rio Grande do Norte;2º trimestre 2018;10,3
Rio Grande do Norte;3º trimestre 2018;10,6
Rio Grande do Norte;4º trimestre 2018;11,7
Rio Grande do Norte;1º trimestre 2019;11,1
Rio Grande do Norte;2º trimestre 2019;11,3
Rio Grande do Norte;3º trimestre 2019;10,2
Rio Grande do Norte;4º trimestre 2019;9,5
Rio Grande do Norte;1º trimestre 2020;10
Rio Grande do Norte;2º trimestre 2020;12,6
Rio Grande do Norte;3º trimestre 2020;13,1
Rio Grande do Norte;4º trimestre 2020;12,5
Rio Grande do Norte;1º trimestre 2021;11,2
Rio Grande do Norte;2º trimestre 2021;11,6
Rio Grande do Norte;3º trimestre 2021;10,2
Rio Grande do Norte;4º trimestre 2021;9
Paraíba;1º trimestre 2018;10,6
Paraíba;2º trimestre 2018;11
Paraíba;3º trimestre 2018;11,4
Paraíba;4º trimestre 2018;11,2
Paraíba;1º trimestre 2019;11,5
Paraíba;2º trimestre 2019;11,3
Paraíba;3º trimestre 2019;10,7
Paraíba;4º trimestre 2019;10,8
Paraíba;1º trimestre 2020;11,4
Paraíba;2º trimestre 2020;12,7
Paraíba;3º trimestre 2020;13,1
Paraíba;4º trimestre 2020;10,9
Paraíba;1º trimestre 2021;11,5
Paraíba;2º trimestre 2021;12,3
Paraíba;3º trimestre 2021;12,3
Paraíba;4º trimestre 2021;12,1
Pernambuco;1º trimestre 2018;7,2
Pernambuco;2º trimestre 2018;6,2
Pernambuco;3º trimestre 2018;6,9
Pernambuco;4º trimestre 2018;6,6
Pernambuco;1º trimestre 2019;6,5
Pernambuco;2º trimestre 2019;6,7
Pernambuco;3º trimestre 2019;7,4
Pernambuco;4º trimestre 2019;7,3
Pernambuco;1º trimestre 2020;7,4
Pernambuco;2º trimestre 2020;9,3
Pernambuco;3º trimestre 2020;10
Pernambuco;4º trimestre 2020;8,4
Pernambuco;1º trimestre 2021;7,2
Pernambuco;2º trimestre 2021;8,5
Pernambuco;3º trimestre 2021;7,3
Pernambuco;4º trimestre 2021;6,9
Alagoas;1º trimestre 2018;17,5
Alagoas;2º trimestre 2018;16,7
Alagoas;3º trimestre 2018;16
Alagoas;4º trimestre 2018;15,7
Alagoas;1º trimestre 2019;16,5
Alagoas;2º trimestre 2019;15,2
Alagoas;3º trimestre 2019;16,4
Alagoas;4º trimestre 2019;17,3
Alagoas;1º trimestre 2020;15,5
Alagoas;2º trimestre 2020;20,7
Alagoas;3º trimestre 2020;21,8
Alagoas;4º trimestre 2020;18,4
Alagoas;1º trimestre 2021;17,9
Alagoas;2º trimestre 2021;16,4
Alagoas;3º trimestre 2021;15,1
Alagoas;4º trimestre 2021;14,1
Sergipe;1º trimestre 2018;8,4
Sergipe;2º trimestre 2018;7,7
Sergipe;3º trimestre 2018;7,6
Sergipe;4º trimestre 2018;7,9
Sergipe;1º trimestre 2019;8
Sergipe;2º trimestre 2019;7,8
Sergipe;3º trimestre 2019;8,5
Sergipe;4º trimestre 2019;5,8
Sergipe;1º trimestre 2020;6,2
Sergipe;2º trimestre 2020;10,1
Sergipe;3º trimestre 2020;10,7
Sergipe;4º trimestre 2020;8,3
Sergipe;1º trimestre 2021;8,4
Sergipe;2º trimestre 2021;10,3
Sergipe;3º trimestre 2021;9,5
Sergipe;4º trimestre 2021;8,7
Bahia;1º trimestre 2018;9,9
Bahia;2º trimestre 2018;11
Bahia;3º trimestre 2018;9,8
Bahia;4º trimestre 2018;9,9
Bahia;1º trimestre 2019;9,8
Bahia;2º trimestre 2019;9,7
Bahia;3º trimestre 2019;10
Bahia;4º trimestre 2019;10
Bahia;1º trimestre 2020;9,9
Bahia;2º trimestre 2020;12,2
Bahia;3º trimestre 2020;11,3
Bahia;4º trimestre 2020;10,8
Bahia;1º trimestre 2021;10,6
Bahia;2º trimestre 2021;9,6
Bahia;3º trimestre 2021;8,5
Bahia;4º trimestre 2021;8,7
Minas Gerais;1º trimestre 2018;3,5
Minas Gerais;2º trimestre 2018;3,4
Minas Gerais;3º trimestre 2018;3,3
Minas Gerais;4º trimestre 2018;3,4
Minas Gerais;1º trimestre 2019;3,6
Minas Gerais;2º trimestre 2019;3,6
Minas Gerais;3º trimestre 2019;3,3
Minas Gerais;4º trimestre 2019;3,2
Minas Gerais;1º trimestre 2020;3,8
Minas Gerais;2º trimestre 2020;4,8
Minas Gerais;3º trimestre 2020;4,7
Minas Gerais;4º trimestre 2020;4,7
Minas Gerais;1º trimestre 2021;4,3
Minas Gerais;2º trimestre 2021;3,8
Minas Gerais;3º trimestre 2021;3,6
Minas Gerais;4º trimestre 2021;3,3
Espírito Santo;1º trimestre 2018;1,8
Espírito Santo;2º trimestre 2018;1,4
Espírito Santo;3º trimestre 2018;2
Espírito Santo;4º trimestre 2018;1,7
Espírito Santo;1º trimestre 2019;1,9
Espírito Santo;2º trimestre 2019;1,4
Espírito Santo;3º trimestre 2019;1,6
Espírito Santo;4º trimestre 2019;1,5
Espírito Santo;1º trimestre 2020;1,9
Espírito Santo;2º trimestre 2020;2,7
Espírito Santo;3º trimestre 2020;2,4
Espírito Santo;4º trimestre 2020;2,4
Espírito Santo;1º trimestre 2021;2,7
Espírito Santo;2º trimestre 2021;2,7
Espírito Santo;3º trimestre 2021;2,2
Espírito Santo;4º trimestre 2021;2,2
Rio de Janeiro;1º trimestre 2018;0,8
Rio de Janeiro;2º trimestre 2018;1,1
Rio de Janeiro;3º trimestre 2018;1,2
Rio de Janeiro;4º trimestre 2018;0,9
Rio de Janeiro;1º trimestre 2019;1,1
Rio de Janeiro;2º trimestre 2019;1,2
Rio de Janeiro;3º trimestre 2019;1,3
Rio de Janeiro;4º trimestre 2019;1,2
Rio de Janeiro;1º trimestre 2020;1,1
Rio de Janeiro;2º trimestre 2020;2
Rio de Janeiro;3º trimestre 2020;2,7
Rio de Janeiro;4º trimestre 2020;2,3
Rio de Janeiro;1º trimestre 2021;2,5
Rio de Janeiro;2º trimestre 2021;2
Rio de Janeiro;3º trimestre 2021;1,9
Rio de Janeiro;4º trimestre 2021;1,7
São Paulo;1º trimestre 2018;1,5
São Paulo;2º trimestre 2018;1,8
São Paulo;3º trimestre 2018;1,5
São Paulo;4º trimestre 2018;1,6
São Paulo;1º trimestre 2019;1,5
São Paulo;2º trimestre 2019;1,6
São Paulo;3º trimestre 2019;1,3
São Paulo;4º trimestre 2019;1,3
São Paulo;1º trimestre 2020;1,5
São Paulo;2º trimestre 2020;2,4
São Paulo;3º trimestre 2020;2,3
São Paulo;4º trimestre 2020;2,2
São Paulo;1º trimestre 2021;2,5
São Paulo;2º trimestre 2021;1,8
São Paulo;3º trimestre 2021;2,1
São Paulo;4º trimestre 2021;1,7
Paraná;1º trimestre 2018;1,5
Paraná;2º trimestre 2018;1,5
Paraná;3º trimestre 2018;1,6
Paraná;4º trimestre 2018;1,7
Paraná;1º trimestre 2019;1,7
Paraná;2º trimestre 2019;1,8
Paraná;3º trimestre 2019;1,6
Paraná;4º trimestre 2019;1,8
Paraná;1º trimestre 2020;1,6
Paraná;2º trimestre 2020;2,1
Paraná;3º trimestre 2020;2
Paraná;4º trimestre 2020;1,9
Paraná;1º trimestre 2021;1,7
Paraná;2º trimestre 2021;2,3
Paraná;3º trimestre 2021;2
Paraná;4º trimestre 2021;1,6
Santa Catarina;1º trimestre 2018;0,8
Santa Catarina;2º trimestre 2018;0,6
Santa Catarina;3º trimestre 2018;0,8
Santa Catarina;4º trimestre 2018;0,8
Santa Catarina;1º trimestre 2019;0,8
Santa Catarina;2º trimestre 2019;0,9
Santa Catarina;3º trimestre 2019;1
Santa Catarina;4º trimestre 2019;0,8
Santa Catarina;1º trimestre 2020;0,8
Santa Catarina;2º trimestre 2020;1,4
Santa Catarina;3º trimestre 2020;1,3
Santa Catarina;4º trimestre 2020;1,5
Santa Catarina;1º trimestre 2021;1
Santa Catarina;2º trimestre 2021;0,9
Santa Catarina;3º trimestre 2021;0,7
Santa Catarina;4º trimestre 2021;0,6
Rio Grande do Sul;1º trimestre 2018;1
Rio Grande do Sul;2º trimestre 2018;1,2
Rio Grande do Sul;3º trimestre 2018;1,3
Rio Grande do Sul;4º trimestre 2018;1,2
Rio Grande do Sul;1º trimestre 2019;1,2
Rio Grande do Sul;2º trimestre 2019;1,4
Rio Grande do Sul;3º trimestre 2019;1,2
Rio Grande do Sul;4º trimestre 2019;1,2
Rio Grande do Sul;1º trimestre 2020;1,1
Rio Grande do Sul;2º trimestre 2020;2
Rio Grande do Sul;3º trimestre 2020;2,2
Rio Grande do Sul;4º trimestre 2020;1,7
Rio Grande do Sul;1º trimestre 2021;1,9
Rio Grande do Sul;2º trimestre 2021;1,2
Rio Grande do Sul;3º trimestre 2021;1,4
Rio Grande do Sul;4º trimestre 2021;1,3
Mato Grosso do Sul;1º trimestre 2018;2,6
Mato Grosso do Sul;2º trimestre 2018;2,3
Mato Grosso do Sul;3º trimestre 2018;2,4
Mato Grosso do Sul;4º trimestre 2018;2,2
Mato Grosso do Sul;1º trimestre 2019;2,6
Mato Grosso do Sul;2º trimestre 2019;2,3
Mato Grosso do Sul;3º trimestre 2019;2,4
Mato Grosso do Sul;4º trimestre 2019;2,6
Mato Grosso do Sul;1º trimestre 2020;2,4
Mato Grosso do Sul;2º trimestre 2020;3,5
Mato Grosso do Sul;3º trimestre 2020;3,2
Mato Grosso do Sul;4º trimestre 2020;2,4
Mato Grosso do Sul;1º trimestre 2021;3,2
Mato Grosso do Sul;2º trimestre 2021;3
Mato Grosso do Sul;3º trimestre 2021;2,5
Mato Grosso do Sul;4º trimestre 2021;2,2
Mato Grosso;1º trimestre 2018;2,2
Mato Grosso;2º trimestre 2018;2,4
Mato Grosso;3º trimestre 2018;2,1
Mato Grosso;4º trimestre 2018;1,8
Mato Grosso;1º trimestre 2019;1,7
Mato Grosso;2º trimestre 2019;1,6
Mato Grosso;3º trimestre 2019;1,9
Mato Grosso;4º trimestre 2019;1,8
Mato Grosso;1º trimestre 2020;1,4
Mato Grosso;2º trimestre 2020;2
Mato Grosso;3º trimestre 2020;2
Mato Grosso;4º trimestre 2020;1,4
Mato Grosso;1º trimestre 2021;1,7
Mato Grosso;2º trimestre 2021;1,3
Mato Grosso;3º trimestre 2021;1,2
Mato Grosso;4º trimestre 2021;1,2
Goiás;1º trimestre 2018;2
Goiás;2º trimestre 2018;2,4
Goiás;3º trimestre 2018;2
Goiás;4º trimestre 2018;1,9
Goiás;1º trimestre 2019;2,1
Goiás;2º trimestre 2019;2,3
Goiás;3º trimestre 2019;1,9
Goiás;4º trimestre 2019;1,6
Goiás;1º trimestre 2020;2,3
Goiás;2º trimestre 2020;3,2
Goiás;3º trimestre 2020;2,9
Goiás;4º trimestre 2020;2,2
Goiás;1º trimestre 2021;2,5
Goiás;2º trimestre 2021;2,1
Goiás;3º trimestre 2021;2,4
Goiás;4º trimestre 2021;1,9
Distrito Federal;1º trimestre 2018;1,7
Distrito Federal;2º trimestre 2018;1,5
Distrito Federal;3º trimestre 2018;1,4
Distrito Federal;4º trimestre 2018;1,6
Distrito Federal;1º trimestre 2019;1,3
Distrito Federal;2º trimestre 2019;1,7
Distrito Federal;3º trimestre 2019;1,2
Distrito Federal;4º trimestre 2019;1,2
Distrito Federal;1º trimestre 2020;1,2
Distrito Federal;2º trimestre 2020;1,2
Distrito Federal;3º trimestre 2020;1,3
Distrito Federal;4º trimestre 2020;1,4
Distrito Federal;1º trimestre 2021;2
Distrito Federal;2º trimestre 2021;1,8
Distrito Federal;3º trimestre 2021;1,5
Distrito Federal;4º trimestre 2021;1,7
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua trimestral;;
;;
Notas;;
"Para as variáveis ""Situação da Variação em relação (...)"": 'Z' indica significância estatística considerando 95% de confiança; 'A' indica ausência de significância estatística considerando 95% de confiança.
A partir do 4º trimestre de 2015, em acordo com as recomendações da 19ª Conferência Internacional de Estatísticos do Trabalho - CIET, da OIT, pessoas em licença remunerada, independentemente do tempo de afastamento, passaram a ser classificadas como ""ocupadas"" e seus rendimentos do trabalho foram coletados normalmente. Anteriormente, as pessoas em licença remunerada na semana de referência da pesquisa e que estavam afastadas por período inferior a 4 meses eram classificadas como ""ocupadas"". Caso esse afastamento fosse igual ou superior a 4 meses, essas pessoas eram definidas como ""fora da força de trabalho"" e, portanto, não se investigava o rendimento do trabalho.
Além disso, a partir do 4º trimestre de 2015, também passaram a ser classificadas como ""ocupadas"" as pessoas que ajudaram, sem receber remuneração, no trabalho remunerado de parente, adicionalmente àquelas que ajudaram no trabalho remunerado de outro morador do mesmo domicílio. Anteriormente, eram consideradas ""ocupadas"" apenas as pessoas que ajudaram, sem receber remuneração, no trabalho remunerado de outro morador do mesmo domicílio.
A partir de abril de 2016, um aspecto do conceito de desocupação foi alterado de forma a se adequar inteiramente à 19ª Conferência Internacional de Estatísticos do Trabalho - CIET, realizada em outubro de 2013, sendo o questionário ajustado. Com a alteração desse aspecto, passam a ser considerados desocupados aqueles que conseguiram proposta de trabalho para começar após a semana de referência e que iriam começar a trabalhar em até 3 meses; os demais, isto é, aqueles que conseguiram proposta para começar a trabalhar após 3 meses da semana de referência, passam a ser contabilizados na população fora da força de trabalho. Anteriormente, eram considerados desocupados todos aqueles que conseguiram proposta de trabalho para começar após a semana de referência, independentemente do tempo em que iniciariam o trabalho que conseguiram.
A partir de 30 de novembro de 2021, essas estimativas passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica deste indicador foi atualizada.";;
;;
Legenda;;
Símbolo;Significado;
-;"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.";
0;"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas.";
X;"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido.";
..;"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas.";
...;"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa.";
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)";
